prodi,jeniskelamin,propinsikabupaten,tahundaftar,jumlah
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Wonogiri ",2011,2
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Tengah ;Kab. Kebumen ",2011,47
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Barat ;Kab. Indramayu ",2011,8
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jambi ;Kab. Kepulauan Meranti ",2011,2
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Sumatera Barat ;Kab. Pesisir Selatan ",2011,2
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. D.I. Yogyakarta ;Kab. Bantul ",2011,283
"Reguler - FIKes - Fisioterapi S1",Laki-laki,"Prop. Riau ;Kab. Bengkalis ",2011,9
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Jawa Barat ;Kab. Bogor ",2011,2
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kota Magelang ",2011,19
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Kepulauan Riau ;Kab. Karimun ",2011,2
"Aanvullen - FIKes - Keperawatan S1",Perempuan,"Prop. Jawa Tengah ;Kab. Tegal ",2011,2
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Sulawesi Tengah ;Kab. Marowali ",2011,1
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Riau ;Kab. Indragiri Hilir ",2011,8
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Tengah ;Kota Surakarta ",2011,9
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Jambi ;Kab. Muaro Jambi ",2011,4
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jambi ;Kab. Bungo ",2011,1
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. D.K.I. Jakarta ;Kota Jakarta Selatan ",2011,16
"Aanvullen - FIKes - Keperawatan S1",Laki-laki,"Prop. Lampung ;Kab. Lampung Tengah ",2011,1
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Wonosobo ",2011,33
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Tengah ;Kab. Sragen ",2011,6
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Blora ",2011,2
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Kalimantan Barat ;Kab. Bengkayang ",2011,1
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Tengah ;Kab. Klaten ",2011,37
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Jawa Timur ;Kab. Banyuwangi ",2011,2
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kota Surakarta ",2011,1
"Aanvullen - FIKes - Keperawatan S1",Laki-laki,"Prop. D.I. Yogyakarta ;Kota Yogyakarta ",2011,100
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Cilacap ",2011,10
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Riau ;Kab. Kuantan Singingi ",2011,2
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Klaten ",2011,8
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Dompu ",2011,30
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. D.I. Yogyakarta ;Kota Yogyakarta ",2011,165
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Jawa Barat ;Kab. Karawang ",2011,7
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Barat ;Kota Bandung ",2011,1
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Demak ",2011,2
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Kalimantan Tengah ;Kab. Kotawaringin Barat ",2011,12
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Sumatera Selatan ;Kab. Musi Banyu Asin ",2011,1
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Jawa Tengah ;Kab. Wonosobo ",2011,57
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Tengah ;Kab. Wonogiri ",2011,9
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Pekalongan ",2011,1
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Riau ;Kab. Indragiri Hulu ",2011,3
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Timur ;Kota Mojokerto ",2011,8
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Lampung ;Kab. Lampung Utara ",2011,7
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Kalimantan Timur ;Kota Balikpapan ",2011,5
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Riau ;Kab. Indragiri Hilir ",2011,2
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Sulawesi Tenggara ;Kab. Buton ",2011,4
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Lampung ;Kab. Lampung Utara ",2011,7
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Riau ;Kota Pekanbaru ",2011,19
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Klaten ",2011,13
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Nusa Tenggara Timur ;Kab. Sumba Timur ",2011,2
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Barat ;Kab. Karawang ",2011,2
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Tengah ;Kab. Cilacap ",2011,22
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Sumatera Selatan ;Kab. Ogan Komering Ulu ",2011,11
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Lampung ;Kab. Tenggamus ",2011,5
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Sumatera Selatan ;Kab. Ogan Komering Ulu Timur ",2011,11
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Lampung ;Kab. Tenggamus ",2011,8
"Reguler - FIKes - Fisioterapi S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Lombok Timur ",2011,123
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Nusa Tenggara Timur ;Kab. Belu ",2011,1
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Kalimantan Timur ;Kab. Berau ",2011,3
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Sumatera Selatan ;Kab. Ogan Ilir ",2011,3
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Lampung ;Kab. Tulang Bawang Barat ",2011,16
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Lampung ;Kota Bandar Lampung ",2011,16
"Aanvullen - FIKes - Keperawatan S1",Perempuan,"Prop. Jawa Tengah ;Kab. Semarang ",2011,8
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jambi ;Kota Jambi ",2011,2
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Lampung ;Kota Bandar Lampung ",2011,11
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Nusa Tenggara Barat ;Kota Mataram ",2011,11
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Kalimantan Selatan ;Kab. Tanah Bumbu ",2011,2
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. D.I. Yogyakarta ;Kab. Gunung Kidul ",2011,21
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Timur ;Kab. Jombang ",2011,4
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Timur ;Kab. Situbondo ",2011,1
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. D.I. Yogyakarta ;Kab. Gunung Kidul ",2011,128
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Tengah ;Kab. Temanggung ",2011,40
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Kalimantan Selatan ;Kab. Tanah Bumbu ",2011,2
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Barat ;Kab. Subang ",2011,3
"Aanvullen - FIKes - Keperawatan S1",Laki-laki,"Prop. D.I. Yogyakarta ;Kab. Sleman ",2011,51
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Purworejo ",2011,23
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Barat ;Kota Bekasi ",2011,7
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Brebes ",2011,4
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Jawa Tengah ;Kab. Banjarnegara ",2011,28
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. D.I. Yogyakarta ;Kab. Kulon Progo ",2011,129
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Jambi ;Kab. Bungo ",2011,4
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Kalimantan Timur ;Kota Samarinda ",2011,2
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Kendal ",2011,10
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Sumatera Barat ;Kab. Solok ",2011,1
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jambi ;Kab. Muaro Jambi ",2011,2
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Sumatera Utara ;Kab. Asahan ",2011,1
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. D.I. Yogyakarta ;Kab. Sleman ",2011,329
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Tengah ;Kab. Blora ",2011,6
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Timur ;Kab. Ngawi ",2011,7
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Barat ;Kab. Karawang ",2011,2
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Purworejo ",2011,7
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Nusa Tenggara Barat ;Kab. Dompu ",2011,11
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Nusa Tenggara Timur ;Kab. Ende ",2011,4
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. D.I. Yogyakarta ;Kab. Kulon Progo ",2011,209
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Jawa Timur ;Kab. Lamongan ",2011,4
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Kalimantan Timur ;Kota Tarakan ",2011,2
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Tegal ",2011,4
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. D.K.I. Jakarta ;Kota Jakarta Barat ",2011,1
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Kalimantan Barat ;Kab. Kapuas Hulu ",2011,1
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Kepulauan Riau ;Kota Tanjungpinang ",2011,1
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Kalimantan Timur ;Kab. Pasir ",2011,7
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Timur ;Kab. Pacitan ",2011,12
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Semarang ",2011,38
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Barat ;Kota Cirebon ",2011,7
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jambi ;Kab. Kepulauan Meranti ",2011,4
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Bali ;Kota Denpasar ",2011,1
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Nusa Tenggara Barat ;Kab. Dompu ",2011,12
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Jawa Timur ;Kab. Jember ",2011,2
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Banjarnegara ",2011,10
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Sulawesi Tengah ;Kab. Banggai ",2011,3
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Maluku Utara ;Kab. Halmahera Selatan ",2011,2
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Lombok Tengah ",2011,17
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Timur ;Kab. Magetan ",2011,5
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Jawa Timur ;Kab. Sumenep ",2011,3
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. D.I. Yogyakarta ;Kab. Sleman ",2011,78
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Riau ;Kab. Siak ",2011,1
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Sulawesi Tenggara ;Kota Baubau ",2011,2
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Lombok Barat ",2011,9
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Tengah ;Kab. Banyumas ",2011,9
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Gorontalo ;Kab. Gorontalo ",2011,4
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Bangka Belitung ;Kab. Belitung Timur ",2011,1
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Banyumas ",2011,42
"Aanvullen - FIKes - Keperawatan S1",Laki-laki,"Prop. Lampung ;Kota Bandar Lampung ",2011,4
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. D.I. Yogyakarta ;Kota Yogyakarta ",2011,121
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Banten ;Kab. Lebak ",2011,2
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Timur ;Kab. Probolinggo ",2011,1
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kota Mataram ",2011,12
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. D.I. Yogyakarta ;Kab. Gunung Kidul ",2011,88
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Sumatera Utara ;Kab. Labuhan Batu ",2011,2
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Barat ;Kota Tasikmalaya ",2011,1
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. D.I. Yogyakarta ;Kab. Bantul ",2011,116
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Sumatera Barat ;Kota Padang ",2011,1
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Riau ;Kab. Kampar ",2011,2
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Bima ",2011,25
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Tengah ;Kab. Magelang ",2011,28
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Kalimantan Timur ;Kota Bontang ",2011,4
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Tegal ",2011,2
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Kudus ",2011,5
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jambi ;Kab. Bungo ",2011,4
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Sumatera Barat ;Kota Padang ",2011,1
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Jawa Tengah ;Kab. Cilacap ",2011,60
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Jawa Barat ;Kota Bandung ",2011,2
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Bengkulu ;Kab. Bengkulu Selatan ",2011,1
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Nusa Tenggara Barat ;Kota Mataram ",2011,76
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Timur ;Kab. Jombang ",2011,10
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Tengah ;Kab. Jepara ",2011,3
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Nusa Tenggara Barat ;Kab. Sumbawa ",2011,11
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Nusa Tenggara Barat ;Kab. Lombok Barat ",2011,2
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Cilacap ",2011,30
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Sumatera Selatan ;Kota Palembang ",2011,8
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Batang ",2011,2
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Timur ;Kab. Ngawi ",2011,8
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jambi ;Kab. Tebo ",2011,2
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Tengah ;Kota Tegal ",2011,1
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Sumatera Selatan ;Kab. Musi Rawas ",2011,4
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Kalimantan Barat ;Kab. Ketapang ",2011,4
"Reguler - FIKes - Fisioterapi S1",Laki-laki,"Prop. Nusa Tenggara Barat ;Kab. Dompu ",2011,46
"Reguler - FIKes - Keperawatan S1",Perempuan,"Prop. Jawa Tengah ;Kab. Sragen ",2011,14
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Purbalingga ",2011,9
"Reguler - FIKes - Fisioterapi S1",Perempuan,"Prop. Sulawesi Selatan ;Kab. Bulukumba ",2011,1
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Jawa Tengah ;Kab. Magelang ",2011,16
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Jawa Tengah ;Kab. Sukoharjo ",2011,4
"Aanvullen - FIKes - Keperawatan S1",Perempuan,"Prop. Jawa Tengah ;Kab. Magelang ",2011,7
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Riau ;Kab. Indragiri Hulu ",2011,1
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Jawa Barat ;Kota Bandung ",2011,5
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Nusa Tenggara Barat ;Kab. Lombok Timur ",2011,72
"Aanvullen - FIKes - Kebidanan D4",Perempuan,"Prop. Maluku ;Kota Ambon ",2011,10
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Nusa Tenggara Timur ;Kab. Belu ",2011,1
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. D.I. Yogyakarta ;Kab. Kulon Progo ",2011,41
"Reguler - FIKes - Kebidanan D3",Perempuan,"Prop. Sulawesi Selatan ;Kota Makassar ",2011,3
"Reguler - FIKes - Kebidanan D4",Perempuan,"Prop. Nusa Tenggara Barat ;Kab. Bima ",2011,9
"Reguler - FIKes - Keperawatan S1",Laki-laki,"Prop. Kalimantan Timur ;Kota Balikpapan ",2011,9
